pair_address,time,tokenA,t0_symbol,t0_blockchain,tokenB,t1_symbol,t1_blockchain
0xebdffdfabc0c9723d24df3a8304467bac9c0ce42,3/11/2023 15:07,0x18c11fd286c5ec11c3b683caa813b77f5163a122,GNS,arbitrum,0x93b346b6bc2548da6a1e7d98e9a421b42541425b,LUSD,arbitrum
0xbc0246af68027f3386ee7c75b2f6022115977036,3/25/2023 6:50,0x18c11fd286c5ec11c3b683caa813b77f5163a122,GNS,arbitrum,0x3082cc23568ea640225c2467653db90e9250aaa0,RDNT,arbitrum
0xaa6500cdfb9d355132a9b1824c7d13b26a59f653,4/10/2023 12:41,0x18c11fd286c5ec11c3b683caa813b77f5163a122,GNS,arbitrum,0x4574e595647e6158c0c488273faf9bf9ef3c5ec6,NRD,arbitrum
0x8a216504a7d3d6499d9111383622c30d9e83a166,4/12/2023 15:38,0x18c11fd286c5ec11c3b683caa813b77f5163a122,GNS,arbitrum,0x539bde0d7dbd336b79148aa742883198bbf60342,MAGIC,arbitrum
0x522b0b776f34dc3c762f0e74832f046a24491b6b,4/14/2023 18:32,0x18c11fd286c5ec11c3b683caa813b77f5163a122,GNS,arbitrum,0x912ce59144191c1204e64559fe8253a0e49e6548,ARB,arbitrum
0x33946ebb43ab295d0595f7d6e70748e468e4ac8d,5/2/2023 3:11,0x18c11fd286c5ec11c3b683caa813b77f5163a122,GNS,arbitrum,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,arbitrum
0xff33c0e8fe0957a8ea7f79a1a581cb9c6fb82f8a,2/4/2023 9:49,0x18c11fd286c5ec11c3b683caa813b77f5163a122,GNS,arbitrum,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,arbitrum
0x6b748ca0b21666869b0901335df7eb7bfb98fa3a,1/19/2023 2:58,0x18c11fd286c5ec11c3b683caa813b77f5163a122,GNS,arbitrum,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,arbitrum
0x858645a4745901d3f44446a34968eb545adbad63,1/12/2023 21:23,0x18c11fd286c5ec11c3b683caa813b77f5163a122,GNS,arbitrum,0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0,UNI,arbitrum
0x1d6394f013ef1f9d98c5d9c1e56e10ce33ccd5d1,1/19/2023 12:56,0x18c11fd286c5ec11c3b683caa813b77f5163a122,GNS,arbitrum,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,GMX,arbitrum
0x4d2fe06fd1c4368042b926d082484d2e3cc8f3f5,12/29/2022 10:58,0x18c11fd286c5ec11c3b683caa813b77f5163a122,GNS,arbitrum,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,DAI,arbitrum
0x05cf80699d9912b8b81c2c777e6612bb3452f0f2,1/20/2023 12:43,0x18c11fd286c5ec11c3b683caa813b77f5163a122,GNS,arbitrum,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,LINK,arbitrum
0xb563eb9b2aef445ba2c16487bbc2132a9be55d46,1/20/2023 19:01,0x18c11fd286c5ec11c3b683caa813b77f5163a122,GNS,arbitrum,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,LINK,arbitrum
0x5f4951324b998a2137db656e998d5ee82799dc01,2/6/2023 18:43,0x18c11fd286c5ec11c3b683caa813b77f5163a122,GNS,arbitrum,0x561877b6b3dd7651313794e5f2894b2f18be0766,MATIC,arbitrum
0xfb30135d5bde908b88e5422baa6093065304d98b,12/30/2022 8:03,0x18c11fd286c5ec11c3b683caa813b77f5163a122,GNS,arbitrum,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,arbitrum
